subject,sessionIndex,rep,H.period,UD.period.t,H.t,UD.t.i,H.i,UD.i.e,H.e,UD.e.five,H.five,UD.five.Shift.r,H.Shift.r,UD.Shift.r.o,H.o,UD.o.a,H.a,UD.a.n,H.n,UD.n.l,H.l,UD.l.Return,H.Return
v.mal,1,1,109,78,78,125,78,16,78,109,63,172,234,47,78,110,93,78,204,-47,93,157,109
v.mal,1,2,78,79,78,140,78,63,94,93,63,187,282,15,110,172,93,47,156,-78,94,188,93
v.mal,1,3,78,63,93,63,78,47,78,62,63,141,265,47,63,156,78,47,156,-47,94,156,78
v.mal,1,4,94,78,94,93,32,62,94,141,93,235,250,156,78,78,78,94,156,-31,78,188,93
v.mal,1,5,63,109,78,31,79,78,125,15,63,156,250,94,62,157,78,62,219,-94,125,172,109
v.mal,1,6,93,63,78,94,78,47,78,78,78,156,219,47,63,171,79,62,156,-62,109,141,94
v.mal,1,7,94,93,63,62,78,79,109,47,78,172,250,94,78,109,78,78,188,-63,125,172,78
v.mal,1,8,78,94,93,78,79,15,94,78,63,125,265,31,47,188,94,46,157,-47,94,156,94
v.mal,1,9,94,78,78,63,78,63,78,78,62,125,203,32,78,156,94,15,141,-47,94,141,93
v.mal,1,10,94,141,94,93,63,62,110,62,78,125,250,47,78,172,63,78,140,-62,109,141,109
v.mal,1,11,94,47,78,94,78,47,78,78,78,125,234,78,63,141,78,47,156,-78,109,156,63
v.mal,1,12,79,125,78,93,79,406,78,125,62,141,266,172,62,109,94,47,156,-78,110,140,94
v.mal,1,13,78,125,78,78,79,46,110,15,79,125,234,125,78,94,78,78,141,-63,94,203,94
v.mal,1,14,78,78,94,78,63,31,78,78,63,125,203,62,78,141,94,93,172,-93,125,218,94
v.mal,1,15,94,94,78,78,63,47,93,63,78,125,219,78,94,140,78,110,187,-78,109,157,78
v.mal,2,1,94,78,78,109,94,62,79,125,62,156,235,93,79,109,78,109,188,-78,94,171,110
v.mal,2,2,94,63,78,109,94,78,78,94,62,282,250,62,94,94,109,16,172,-63,78,203,94
v.mal,2,3,93,47,94,109,78,32,93,79,62,125,266,140,94,125,78,94,156,-62,109,172,109
v.mal,2,4,78,79,109,109,94,16,78,94,93,110,281,78,78,125,94,62,172,-47,63,203,94
v.mal,2,5,78,63,62,141,78,16,109,62,63,141,250,93,110,78,94,78,203,-94,109,141,109
v.mal,2,6,79,140,78,78,63,62,110,47,78,156,234,110,94,93,94,78,172,-78,109,157,93
v.mal,2,7,78,125,78,78,78,63,109,16,62,157,234,78,78,125,110,46,188,-94,125,156,94
v.mal,2,8,94,31,94,94,62,79,187,31,78,250,219,141,94,156,94,62,172,-94,94,156,94
v.mal,2,9,109,156,79,125,62,47,94,47,78,125,250,93,79,93,94,78,156,-78,110,156,78
v.mal,2,10,79,140,63,78,62,94,141,78,78,141,250,109,94,109,94,78,172,-78,93,188,47
v.mal,2,11,78,125,62,78,63,94,125,15,63,140,266,78,78,94,109,47,172,-78,94,156,94
v.mal,2,12,78,141,78,125,62,94,94,78,62,94,266,78,78,141,78,78,156,-78,109,157,93
v.mal,2,13,94,78,62,94,63,78,125,31,63,109,250,31,94,125,109,78,125,-93,125,187,110
v.mal,2,14,78,109,94,47,78,94,125,78,62,141,265,79,78,140,94,63,250,-94,125,375,94
v.mal,2,15,78,125,78,109,78,63,125,16,62,125,234,32,78,140,94,63,218,-78,125,219,94
